Variables,id_label,label
A2,1,Desayuno
A2,2,Almuerzo
A2,3,Comida
A2,4,Las tres comidas
A2,92,No Sabe / No Responde
A2_1,1,Menores de 5 años
A2_1,2,De 5 a 12 años
A2_1,3,De 13 a 17 años
A2_1,4,De 18 a 25 años
A2_1,5,De 26 a 35 años
A2_1,6,De 36 a 45 años
A2_1,7,De 46 a 55 años
A2_1,8,Más de 55 años
A2_2,1,Menores de 5 años
A2_2,2,De 5 a 12 años
A2_2,3,De 13 a 17 años
A2_2,4,De 18 a 25 años
A2_2,5,De 26 a 35 años
A2_2,6,De 36 a 45 años
A2_2,7,De 46 a 55 años
A2_2,8,Más de 55 años
A2_3,1,Menores de 5 años
A2_3,2,De 5 a 12 años
A2_3,3,De 13 a 17 años
A2_3,4,De 18 a 25 años
A2_3,5,De 26 a 35 años
A2_3,6,De 36 a 45 años
A2_3,7,De 46 a 55 años
A2_3,8,Más de 55 años
A2A_*,1,Menores de 5 años
A2A_*,2,De 5 a 12 años
A2A_*,3,De 13 a 17 años
A2A_*,4,De 18 a 25 años
A2A_*,5,De 26 a 35 años
A2A_*,6,De 36 a 45 años
A2A_*,7,De 46 a 55 años
A2A_*,8,Más de 55 años
AG1,1,Buen camino
AG1,2,Mal camino
AG1,3,Siguen igual
AG1,92,No Sabe / No Responde
AG2,1,Nada orgulloso
AG2,2,2
AG2,3,3
AG2,4,4
AG2,5,Muy orgulloso
AG2,92,No Sabe / No Responde
AG2A,1,Muy poco orgulloso
AG2A,2,2
AG2A,3,3
AG2A,4,4
AG2A,5,Muy orgulloso
AG2B,1,Bogotano(a)
AG2B,2,	De otra parte del país
AG2C,1,Nació en Bogotá
AG2C,2,	Nació en otra ciudad
AG3,1,Van a mejorar
AG3,2,Van a emporar
AL1,1,Sí
AL1,2,No
AL1,3,No Sabe
AL2,1,"Pocas veces, una o dos veces en las últimas cuatro semanas"
AL2,2,"A veces, entre tres y diez veces las últimas cuatro semanas"
AL2,3,"Con frecuencia, más de diez veces en las últimas cuatro semanas"
AL2,4,Por lo menos una vez al mes
AL4,1,Insuficiente
AL4,2,Poco suficiente
AL4,3,Ni insuficiente ni suficiente
AL4,4,Suficiente
AL4,5,Más que suficiente
AL5,1,Consumió todas las comidas
AL5,2,No consumió alguna de las tres comidas
AL5,92,No Sabe / No Responde
AL6,1,Más de tres veces a la semana
AL6,2,Entre una y tres veces a la semana
AL6,3,Por lo menos una vez cada dos semanas
AL6,4,Por lo menos una vez al mes
AL6,92,No Sabe / No Responde
AL7_1,1,Siempre
AL7_1,2,Algunas veces
AL7_1,3,Nunca
AL7_2,1,Siempre
AL7_2,2,Algunas veces
AL7_2,3,Nunca
AL7_3,1,Siempre
AL7_3,2,Algunas veces
AL7_3,3,Nunca
AL7_4,1,Siempre
AL7_4,2,Algunas veces
AL7_4,3,Nunca
AL7_5,1,Siempre
AL7_5,2,Algunas veces
AL7_5,3,Nunca
AL7_6,1,Siempre
AL7_6,2,Algunas veces
AL7_6,3,Nunca
AÑO,1998,1998
AÑO,1999,1999
AÑO,2000,2000
AÑO,2001,2001
AÑO,2002,2002
AÑO,2003,2003
AÑO,2004,2004
AÑO,2005,2005
AÑO,2006,2006
AÑO,2007,2007
AÑO,2008,2008
AÑO,2009,2009
AÑO,2010,2010
AÑO,2011,2011
AÑO,2012,2012
AÑO,2013,2013
AÑO,2014,2014
CC1,1,Sí ha escuchado
CC1,2,No ha escuchado
CC1,92,No Sabe / No Responde
CC10,1,Informes de prensa
CC10,2,Entrevistas o notas radiales
CC10,3,Noticieros de televisión
CC10,4,Boletines o informes del Programa
CC10,5,A través de Internet
CC10,6,Presentación en conferencia
CC10,7,Alguien le comentó / Un amigo le comentó
CC10,8,Programas de Opinión/ Programas de televisión
CC10,9,Cámara de comercio
CC10,10,Conferencias
CC10,11,Facebook o Twitter
CC10,12,Página web de [CIUDAD ]Cómo Vamos
CC10,13,Canales de televisión
CC10,14,Supercades
CC10,15,Familiares / Ciudadanos
CC10,16,Avisos en la  calle
CC10,17,En la  universidad /en el SENA
CC10,18,"Publicidad (vallas, Comerciales, Avisos)"
CC10,89,Otro. ¿Cuál?
CC10,90,Ninguno
CC10,91,No Recuerda
CC10,92,No Sabe / No Responde
CC10,93,No responde
CC10,94,Cualquiera
CC10,95,Todos
CC10,96,No aplica
CC10,97,Ningún otro
