Tipo,Label,Nombre
C,¿Cuál comida?,A2_*
C,Cuál o cuáles miembros del hogar no consumieron alguna de las tres comidas que me acaba de mencionar?,A2A_*
N,Cuál o cuáles miembros del hogar no consumieron alguna de las tres comidas - Hombre (s) - Menores de 5 años,A2B_1
N,Cuál o cuáles miembros del hogar no consumieron alguna de las tres comidas - Hombre (s) - De 5 a 12 años,A2B_2
N,Cuál o cuáles miembros del hogar no consumieron alguna de las tres comidas - Hombre (s) - De 13 a 17 años,A2B_3
N,Cuál o cuáles miembros del hogar no consumieron alguna de las tres comidas - Hombre (s) - De 18 a 35 años,A2B_4
N,Cuál o cuáles miembros del hogar no consumieron alguna de las tres comidas - Hombre (s) - De 26 a 35 años,A2B_5
N,Cuál o cuáles miembros del hogar no consumieron alguna de las tres comidas - Hombre (s) - De 36 a 45 años,A2B_6
N,Cuál o cuáles miembros del hogar no consumieron alguna de las tres comidas - Hombre (s) - De 46 a 55 años -,A2B_7
N,Cuál o cuáles miembros del hogar no consumieron alguna de las tres comidas - Hombre (s) - Más de 55 años -,A2B_8
N,Cuál o cuáles miembros del hogar no consumieron alguna de las tres comidas - Mujer (es) - Menores de 5 años -,A2C_1
N,Cuál o cuáles miembros del hogar no consumieron alguna de las tres comidas - Mujer (es) - De 5 a 12 años -,A2C_2
N,Cuál o cuáles miembros del hogar no consumieron alguna de las tres comidas - Mujer (es) - De 13 a 17 años -,A2C_3
N,Cuál o cuáles miembros del hogar no consumieron alguna de las tres comidas - Mujer (es) - De 18 a 35 años -,A2C_4
N,Cuál o cuáles miembros del hogar no consumieron alguna de las tres comidas - Mujer (es) - De 26 a 35 años -,A2C_5
N,Cuál o cuáles miembros del hogar no consumieron alguna de las tres comidas - Mujer (es) - De 36 a 45 años -,A2C_6
N,Cuál o cuáles miembros del hogar no consumieron alguna de las tres comidas - Mujer (es) - De 46 a 55 años -,A2C_7
N,Cuál o cuáles miembros del hogar no consumieron alguna de las tres comidas - Mujer (es) - Más de 55 años -,A2C_8
N,"Ahora quisiera saber si en su opinión, las cosas en [CIUDAD] en general, ¿van por buen camino o por mal camino?",AG1
E,"Usted personalmente, ¿qué tan orgulloso(a) se siente de [CIUDAD] ahora, en una escala de 1 a 5, donde 1 es nada orgulloso y 5 es muy orgulloso? Puede utilizar cualquier número de la escala.",AG2
E,"Durante el próximo año, ¿Usted cree que las cosas en Bogotá van a mejorar o van a empeorar",AG3
N,"En las últimas CUATRO semanas, ¿Usted o algún miembro de su hogar tuvo que comer menos de TRES comidas diarias porque no había suficientes alimentos?",AL1
N,¿Con qué frecuencia sucedió esto?,AL2
E,"En su opinión usted diría que en general ¿la alimentación de los miembros de su hogar es insuficiente, poco suficiente, ni insuficiente ni suficiente, suficiente ó más que suficiente?",AL4
N,"Por falta de dinero, ¿alguna persona del hogar no consumió alguna de las tres comidas, desayuno, almuerzo o comida, uno o más días de la semana pasada?",AL5
N,"¿Con qué frecuencia, por falta de dinero, algún miembro del hogar no consume alguna de las tres comidas, desayuno, almuerzo, comida? ",AL6
N,"A continuación, le mencionaré afirmaciones de la gente  sobre su situación alimentaría. Me gustaría que me dijera si ocurrieron en su hogar en estos 12 meses :	En mi hogar nos preocupa que se termine la comida y no tengamos dinero para comprar más",AL7_1
N,"A continuación, le mencionaré afirmaciones de la gente  sobre su situación alimentaría. Me gustaría que me dijera si ocurrieron en su hogar en estos 12 meses: 	En mi hogar la comida se nos acabó antes de disponer de dinero para comprar más",AL7_2
N,"A continuación, le mencionaré algunas afirmaciones de la gente  sobre su situación alimentaría. Me gustaría que me dijera si ocurrieron en su hogar:	En mi hogar no podemos afrontar los gastos para consumir comidas completas y equilibradas",AL7_3
N,Mencionaré algunas afirmaciones de la gente sobre su situación alimentaría en los últimos 12 meses-	En mi hogar no podemos darle a nuestros hijos una alimentación completa y equilibrada debido a que no podemos subir los gastos,AL7_4
N,Voy a mencionar afirmaciones de la gente sobre su situación alimentaría en los últimos 12 meses-Qué tan a menudo sus hijos no se alimentaron lo suficiente debido a que en el hogar no pudieron comprar los alimentos necesarios en los últimos 12 meses.,AL7_5
N,Voy a mencionar afirmaciones sobre su situación alimentaría. Digame si ocurrieron en su hogar durante estos últimos 12 meses: Ud recorto el tamaño de las porciones de alimento debido a la falta de dinero para afrontar los gastos.,AL7_6
N,AÑO,AÑO
TXT,BARRIO,BARRIO
N,¿Usted ha escuchado que existe el Concejo de [CIUDAD]?,CC1
C,¿Y cómo se enteró del Programa CIUDAD Cómo Vamos?,CC10_*
C,¿Sabe Usted a qué se dedica el Proyecto Cartagena Cómo Vamos?,CC10_CAR_08_*
E,"¿Usted cómo califica, en términos generales, la gestión de la Junta Acción Comunal de su barrio en una escala de 1 a 5, siendo 1 muy mala gestión y 5 muy buena gestión? Puede utilizar cualquier número de la escala. ",CC10A
E,"¿Cómo califica, en términos generales, la gestión de la Junta Administradora Local JAL y de los ediles de su localidad, en una escala de 1 a 5, siendo 1 muy mala gestión y 5 muy buena gestión? Puede utilizar cualquier número de la escala.",CC10B
N,¿Conoce usted la página web del Concejo de Ibagué www.concejodeibague.gov.co,CC11
N,¿Con que frecuencia ha visitado la página web del Concejo de Ibagué?,CC11A
C,En su criterio ¿Cuál es la labor más importante a la que se debería dedicar la Junta de Acción Comunal -JAC- de su barrio?,CC12_*
E,¿Sabe Usted que hay representantes en el Congreso de la República que son elegidos por Bogotá?,CC13
E,¿Los representantes en el Congreso de la República elegidos por Bogotá están haciendo cosas por esta ciudad?,CC13A
E,¿Qué tan insatisfecho(a) o satisfecho(a) está usted con las cosas que están haciendo los representantes en el Congreso de la República elegidos por Bogotá?,CC13B
N,"Pensando en las elecciones que se celebran en el país en diferentes periodos, podría decirme si en general, suele usted votar",CC14
N,"Ya para terminar, y solamente con propósitos estadísticos cuénteme, ¿Ud. votó en las pasadas elecciones para",CC15
C,"Ya para terminar, y solamente con propósitos estadísticos cuénteme, ¿Ud. votó en las pasadas elecciones para",CC15A_*
N,¿Cuál considera usted que debe ser la función de su candidato electo una vez que ejerza como concejal?,CC16
N,"Ahora, con base en lo que Ud. me ha dicho, ¿cuál de los personajes que aparecen en esta tarjeta, sería el que Ud. piensa que mejor cumpliría con lo que Ud. espera del próximo alcalde de Cartagena?",CC17
N,"Y pensando en la próxima elección de Alcalde de Cartagena, Ud. piensa que….",CC18
N,¿Hay algunos que en su opinión deberían ser continuados por el próximo alcalde de la ciudad?,CC19
C,¿Hay algunos que en su opinión deberían ser continuados por el próximo alcalde de la ciudad?,CC19_CAR_05_*
C,"De los siguientes mecanismos para acceder a información, ¿por cuáles se entera Usted sobre política en la ciudad?",CC1A_*
N,¿La imagen que Usted tiene del Concejo de [CIUDAD] es favorable o desfavorable?,CC2
N,"Ahora, con base en lo que Ud. me ha dicho, ¿cuál de los personajes que aparecen en esta tarjeta, sería el que Ud. piensa que mejor cumpliría con lo que Ud. espera del próximo alcalde de Cartagena?",CC20
N,"Ya para terminar, y solamente con propósitos estadísticos cuénteme, ¿Ud. votó en las pasadas elecciones para alcaldía ?",CC21
N,"Por último, ¿se considera usted Liberal, Conservador, del Polo Democrático, independiente o no tiene partido?",CC22
C,"Y, de los siguientes programas que el alcalde Peñalosa ha venido trabajando durante su administración, ¿hay algunos que en su opinión deberían ser continuados por el próximo alcalde de la ciudad?",CC23_*
N,"Ahora, con base en lo que Ud. me ha dicho, ¿cuál de los personajes que aparecen en esta tarjeta, sería el que Ud. piensa que mejor cumpliría con lo que Ud. espera del próximo de alcalde de Bogotá?",CC24
N,¿Usted sabe cuáles son las funciones del Concejo de [CIUDAD] y de los concejales?,CC2A
C,¿Cuál cree Usted que es la función del Concejo de [CIUDAD]?,CC3_*
N,¿Usted sabe cuál es la principal función del Concejo de [CIUDAD]?,CC3A
C,¿Cuál cree usted que es el tema que más trabajó el Concejo de CIUDAD durante el último año?,CC4_*
C,¿Cuáles cree que son los mecanismos para acceder a información sobre el Concejo de Bogotá?,CC4A_*
C,Y ¿cuáles son los temas en los que debería trabajar fuertemente el Concejo de Barranquilla para el período 2012 – 2015?,CC4B_*
C,En su opinión ¿cuáles han sido los temas más importantes en los que ha trabajado el Concejo de Barranquilla durante el período 2008 – 2011?,CC4C_*
E,"Y qué tanto confía Ud. en el, Concejo de CIUDAD en una escala de 1 a 5, donde 1 es que NO CONFÍA NADA y 5 es que CONFÍA MUCHO",CC4D
E,"¿Usted cómo califica, en términos generales, la gestión del Concejo de [CIUDAD], en una escala de 1 a 5, siendo 1 muy mala gestión y 5 muy buena gestión? Puede utilizar cualquier número de la escala",CC5
C,¿Por qué razón califica así la gestión del Concejo de [CIUDAD]? ¿Alguna otra razón? - Calificaciones 1 y 2,CC5A_12_*
C,¿Por qué razón califica así la gestión del Concejo de [CIUDAD]? ¿Alguna otra razón? - Calificación 3,CC5A_3_*
C,¿Por qué razón califica así la gestión del Concejo de [CIUDAD]? ¿Alguna otra razón? - Calificaciones 4 y 5,CC5A_45_*
E,¿Qué tan probable es que  Ud. acuda al Concejo de CIUDAD para que este le ayude a solucionar un problema en su comunidad?,CC5B
E,¿Qué tan probable es que  Ud. Acuda al Concejo de CIUDAD a pedir que controlen la gestión de los funcionarios públicos del Distrito?,CC5C
E,¿Qué tan probable es que  Ud. solicite al Concejo Distrital que realicen audiencias públicas en su comunidad para tratar temas de su interés y contribuir a mejorar el bienestar de usted y sus vecinos?,CC5D
